chromNum	chromStart	chromEnd	bandname	gieStain
chr15	61500000	64900000	q22.31	gneg
chr15	64900000	65000000	q22.32	gpos25
chr15	65000000	65300000	q22.33	gneg
chr15	65300000	70400000	q23	gpos25
chr15	70400000	73100000	q24.1	gneg
chr15	73100000	74400000	q24.2	gpos25
chr15	74400000	76100000	q24.3	gneg
chr15	76100000	79500000	q25.1	gpos50
chr15	79500000	83000000	q25.2	gneg
chr15	83000000	86900000	q25.3	gpos50
chr15	86900000	92100000	q26.1	gneg
chr15	92100000	96300000	q26.2	gpos50
chr15	96300000	100338915	q26.3	gneg
chr16	0	6300000	p13.3	gneg
chr16	6300000	10300000	p13.2	gpos50
chr16	10300000	12500000	p13.13	gneg
chr16	12500000	14700000	p13.12	gpos50
chr16	14700000	16700000	p13.11	gneg
chr16	16700000	20500000	p12.3	gpos50
chr16	20500000	21700000	p12.2	gneg
chr16	21700000	27600000	p12.1	gpos50
chr16	27600000	34400000	p11.2	gneg
chr16	34400000	38200000	p11.1	acen
chr16	38200000	40700000	q11.1	acen
chr16	40700000	45500000	q11.2	gvar
chr16	45500000	51200000	q12.1	gneg
chr16	51200000	54500000	q12.2	gpos50
chr16	54500000	56700000	q13	gneg
chr16	56700000	65200000	q21	gpos100
chr16	65200000	69400000	q22.1	gneg
chr16	69400000	69800000	q22.2	gpos50
chr16	69800000	73300000	q22.3	gneg
chr16	73300000	78200000	q23.1	gpos75
chr16	78200000	80500000	q23.2	gneg
chr16	80500000	82700000	q23.3	gpos50
chr16	82700000	85600000	q24.1	gneg
chr16	85600000	87200000	q24.2	gpos25
chr16	87200000	88827254	q24.3	gneg
chr17	0	3600000	p13.3	gneg
chr17	3600000	6800000	p13.2	gpos50
chr17	6800000	11200000	p13.1	gneg
chr17	11200000	15900000	p12	gpos75
chr17	15900000	22100000	p11.2	gneg
chr17	22100000	22200000	p11.1	acen
chr17	22200000	23200000	q11.1	acen
chr17	23200000	28800000	q11.2	gneg
chr17	28800000	35400000	q12	gpos50
chr17	35400000	35600000	q21.1	gneg
chr17	35600000	37800000	q21.2	gpos25
chr17	37800000	41900000	q21.31	gneg
chr17	41900000	44800000	q21.32	gpos25
chr17	44800000	47600000	q21.33	gneg
chr17	47600000	54900000	q22	gpos75
chr17	54900000	55600000	q23.1	gneg
chr17	55600000	58400000	q23.2	gpos75
chr17	58400000	59900000	q23.3	gneg
chr17	59900000	61600000	q24.1	gpos50
chr17	61600000	64600000	q24.2	gneg
chr17	64600000	68400000	q24.3	gpos75
chr17	68400000	72200000	q25.1	gneg
chr17	72200000	72900000	q25.2	gpos25
chr17	72900000	78774742	q25.3	gneg
chr18	0	2900000	p11.32	gneg
chr18	2900000	7200000	p11.31	gpos50
chr18	7200000	8500000	p11.23	gneg
chr18	8500000	10900000	p11.22	gpos25
chr18	10900000	15400000	p11.21	gneg
chr18	15400000	16100000	p11.1	acen
chr18	16100000	17300000	q11.1	acen
chr18	17300000	23300000	q11.2	gneg
chr18	23300000	31000000	q12.1	gpos100
chr18	31000000	35500000	q12.2	gneg
chr18	35500000	41800000	q12.3	gpos75
chr18	41800000	46400000	q21.1	gneg
chr18	46400000	52000000	q21.2	gpos75
chr18	52000000	54400000	q21.31	gneg
chr18	54400000	57100000	q21.32	gpos50
chr18	57100000	59800000	q21.33	gneg
chr18	59800000	64900000	q22.1	gpos100
chr18	64900000	66900000	q22.2	gneg
chr18	66900000	71300000	q22.3	gpos25
chr18	71300000	76117153	q23	gneg
chr19	0	6900000	p13.3	gneg
chr19	6900000	12600000	p13.2	gpos25
chr19	12600000	13800000	p13.13	gneg
chr19	13800000	16100000	p13.12	gpos25
chr19	16100000	19800000	p13.11	gneg
chr19	19800000	26700000	p12	gvar
chr19	26700000	28500000	p11	acen
chr19	28500000	30200000	q11	acen
chr19	30200000	37100000	q12	gvar
chr19	37100000	40300000	q13.11	gneg
chr19	40300000	43000000	q13.12	gpos25
chr19	43000000	43400000	q13.13	gneg
chr19	43400000	47800000	q13.2	gpos25
chr19	47800000	50000000	q13.31	gneg
chr19	50000000	53800000	q13.32	gpos25
chr19	53800000	57600000	q13.33	gneg
chr19	57600000	59100000	q13.41	gpos25
chr19	59100000	61400000	q13.42	gneg
chr19	61400000	63811651	q13.43	gpos25
chr20	0	5000000	p13	gneg
chr20	5000000	9000000	p12.3	gpos75
chr20	9000000	11900000	p12.2	gneg
chr20	11900000	17800000	p12.1	gpos75
chr20	17800000	21200000	p11.23	gneg
chr20	21200000	22300000	p11.22	gpos25
chr20	22300000	25700000	p11.21	gneg
chr20	25700000	27100000	p11.1	acen
chr20	27100000	28400000	q11.1	acen
chr20	28400000	31500000	q11.21	gneg
chr20	31500000	33900000	q11.22	gpos25
chr20	33900000	37100000	q11.23	gneg
chr20	37100000	41100000	q12	gpos75
chr20	41100000	41600000	q13.11	gneg
chr20	41600000	45800000	q13.12	gpos25
chr20	45800000	49200000	q13.13	gneg
chr20	49200000	54400000	q13.2	gpos75
chr20	54400000	55900000	q13.31	gneg
chr20	55900000	57900000	q13.32	gpos50
chr20	57900000	62435964	q13.33	gneg
chr21	0	2900000	p13	gvar
chr21	2900000	6300000	p12	stalk
chr21	6300000	10000000	p11.2	gvar
chr21	10000000	12300000	p11.1	acen
chr21	12300000	13200000	q11.1	acen
chr21	13200000	15300000	q11.2	gneg
chr21	15300000	22900000	q21.1	gpos100
chr21	22900000	25800000	q21.2	gneg
chr21	25800000	30500000	q21.3	gpos75
chr21	30500000	34700000	q22.11	gneg
chr21	34700000	36700000	q22.12	gpos50
chr21	36700000	38600000	q22.13	gneg
chr21	38600000	41400000	q22.2	gpos50
chr21	41400000	46944323	q22.3	gneg
chr22	0	3000000	p13	gvar
chr22	3000000	6600000	p12	stalk
chr22	6600000	9600000	p11.2	gvar
chr22	9600000	11800000	p11.1	acen
chr22	11800000	16300000	q11.1	acen
chr22	16300000	20500000	q11.21	gneg
chr22	20500000	21800000	q11.22	gpos25
chr22	21800000	24300000	q11.23	gneg
chr22	24300000	27900000	q12.1	gpos50
chr22	27900000	30500000	q12.2	gneg
chr22	30500000	35900000	q12.3	gpos50
chr22	35900000	39300000	q13.1	gneg
chr22	39300000	42600000	q13.2	gpos50
chr22	42600000	47000000	q13.31	gneg
chr22	47000000	48200000	q13.32	gpos50
chr22	48200000	49691432	q13.33	gneg
chrX	0	4300000	p22.33	gneg
chrX	4300000	6000000	p22.32	gpos50
chrX	6000000	9500000	p22.31	gneg
chrX	9500000	17100000	p22.2	gpos50
chrX	17100000	19200000	p22.13	gneg
chrX	19200000	21800000	p22.12	gpos50
chrX	21800000	24900000	p22.11	gneg
chrX	24900000	29400000	p21.3	gpos100
chrX	29400000	31500000	p21.2	gneg
chrX	31500000	37500000	p21.1	gpos100
chrX	37500000	42300000	p11.4	gneg
chrX	42300000	47300000	p11.3	gpos75
chrX	47300000	49700000	p11.23	gneg
chrX	49700000	54700000	p11.22	gpos25
chrX	54700000	56600000	p11.21	gneg
chrX	56600000	59500000	p11.1	acen
chrX	59500000	65000000	q11.1	acen
chrX	65000000	65100000	q11.2	gneg
chrX	65100000	67700000	q12	gpos50
chrX	67700000	72200000	q13.1	gneg
chrX	72200000	73800000	q13.2	gpos50
chrX	73800000	76000000	q13.3	gneg
chrX	76000000	84500000	q21.1	gpos100
chrX	84500000	86200000	q21.2	gneg
chrX	86200000	91900000	q21.31	gpos100
chrX	91900000	93500000	q21.32	gneg
chrX	93500000	98200000	q21.33	gpos75
chrX	98200000	102500000	q22.1	gneg
chrX	102500000	103600000	q22.2	gpos50
chrX	103600000	110500000	q22.3	gneg
chrX	110500000	116800000	q23	gpos75
chrX	116800000	120700000	q24	gneg
chrX	120700000	129800000	q25	gpos100
chrX	129800000	130300000	q26.1	gneg
chrX	130300000	133500000	q26.2	gpos25
chrX	133500000	137800000	q26.3	gneg
chrX	137800000	140100000	q27.1	gpos75
chrX	140100000	141900000	q27.2	gneg
chrX	141900000	146900000	q27.3	gpos100
chrX	146900000	154913754	q28	gneg
chrY	0	1700000	p11.32	gneg
chrY	1700000	3300000	p11.31	gpos50
chrY	3300000	11200000	p11.2	gneg
chrY	11200000	11300000	p11.1	acen
chrY	11300000	12500000	q11.1	acen
chrY	12500000	14300000	q11.21	gneg
chrY	14300000	19000000	q11.221	gpos50
chrY	19000000	21300000	q11.222	gneg
chrY	21300000	25400000	q11.223	gpos50
chrY	25400000	27200000	q11.23	gneg
chrY	27200000	57772954	q12	gvar
